"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2026","49.33","48.74","49.42","48.59","52.40M","3.07%"
"04/13/2026","47.86","47.88","48.03","47.67","34.82M","-0.17%"
"04/10/2026","47.94","47.55","47.94","47.47","65.84M","2.22%"
"04/09/2026","46.90","47.00","47.00","46.70","38.61M","-0.11%"
"04/08/2026","46.95","46.53","47.01","46.36","92.09M","5.41%"
"04/07/2026","44.54","44.51","44.71","44.27","21.48M","1.64%"
"04/02/2026","43.82","45.07","45.07","43.73","33.33M","-2.03%"
"04/01/2026","44.73","44.42","44.80","44.24","43.22M","4.46%"
"03/31/2026","42.82","43.30","43.45","42.75","56.82M","-1.92%"
"03/30/2026","43.66","43.40","43.74","43.32","47.42M","-1.89%"
"03/27/2026","44.50","44.02","44.55","44.00","30.93M","-0.89%"
"03/26/2026","44.90","45.21","45.49","44.86","23.58M","-0.40%"
"03/25/2026","45.08","45.16","45.45","44.91","44.17M","2.15%"
"03/24/2026","44.13","44.92","44.93","43.80","38.16M","0.07%"
"03/23/2026","44.10","44.00","44.34","43.88","67.00M","-2.56%"
"03/20/2026","45.26","45.65","45.74","45.10","29.90M","-0.61%"
"03/19/2026","45.54","45.71","45.87","45.50","39.77M","-1.96%"
"03/18/2026","46.45","46.42","46.63","46.21","35.48M","1.69%"
"03/17/2026","45.68","45.68","45.90","45.55","26.04M","1.13%"
"03/16/2026","45.17","45.50","45.72","44.96","40.64M","-0.29%"
"03/13/2026","45.30","44.80","45.64","44.71","42.40M","-0.77%"
"03/12/2026","45.65","45.99","46.27","45.58","46.46M","-1.74%"
"03/11/2026","46.46","45.22","46.66","45.22","51.61M","4.26%"
"03/10/2026","44.56","45.10","45.22","43.93","76.53M","2.72%"
"03/09/2026","43.38","43.02","43.46","42.58","124.55M","-4.87%"
"03/06/2026","45.60","45.40","45.92","45.35","44.82M","-0.55%"
"03/05/2026","45.85","46.28","46.90","45.66","90.53M","2.48%"
"03/04/2026","44.74","45.68","45.80","44.74","162.78M","-4.42%"
