Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,136.4816,137.6874,133.1314,134.5743,132.2697,49910400
2015-01-05,133.2697,133.5563,129.7515,130.4729,128.2386,56867200
2015-01-06,132.3579,132.7678,127.2703,128.4797,126.2795,52531200
2015-01-07,130.1793,132.3386,129.5195,131.7088,129.4534,52400000
2015-01-08,134.0591,137.3286,133.7491,136.7686,134.4265,52544000
2015-01-09,137.61,137.78,133.49,135.03,132.7177,55964800
2015-01-12,135.3049,135.4446,131.2341,131.9525,129.6928,41520000
2015-01-13,134.1383,136.9252,129.4006,131.431,129.1803,75494400
2015-01-14,128.8034,131.3713,127.7583,130.1272,127.8987,73990400
2015-01-15,131.1588,131.5467,126.2458,126.5939,124.426,57065600
2015-01-16,125.9382,129.6624,125.6601,129.3943,127.1784,70736000
2015-01-20,129.9556,131.0103,127.0278,130.4189,128.1855,62960000
2015-01-21,130.236,133.5139,129.2952,132.3454,130.079,58675200
2015-01-22,132.7157,136.8659,130.409,136.6096,134.2701,63420800
2015-01-23,136.4332,137.8409,135.6161,137.014,134.6677,55900800
2015-01-26,136.3943,136.8657,134.99,136.4041,134.0682,45145600
2015-01-27,131.7119,131.8098,128.0402,129.0291,126.8195,64156800
2015-01-28,133.0134,133.2288,127.4643,127.5621,125.3777,67196800
2015-01-29,127.2611,130.403,125.1078,129.9136,127.6889,60240000
2015-01-30,130.5167,132.4561,128.3411,128.7546,126.5497,50736000
2015-02-02,129.4076,131.3398,125.4841,131.1229,128.8775,51113600
2015-02-03,132.5839,134.336,130.8615,134.1875,131.8895,51491200
2015-02-04,132.7462,135.4535,132.2225,133.6355,131.347,57708800
2015-02-05,133.6912,135.4906,133.0324,135.3235,133.0061,41363200
2015-02-06,136.0827,136.6542,132.989,133.9447,131.651,41513600
2015-02-09,132.7065,134.1429,132.2834,132.8836,130.608,32976000
2015-02-10,134.7004,137.708,134.237,137.353,135.0009,37068800
2015-02-11,137.3411,138.6995,136.908,138.1286,135.7632,40476800
2015-02-12,140.1417,141.6802,139.7374,141.552,139.1279,42793600
2015-02-13,141.0306,142.6126,140.4838,142.554,140.1128,52553600
2015-02-17,144.1187,144.5926,143.4573,144.4051,141.9322,30774400
2015-02-18,144.2526,145.1323,143.8473,145.0038,142.5206,27852800
2015-02-19,144.816,146.5853,144.7369,146.4173,143.9099,37606400
2015-02-20,146.2393,148.5325,145.33,148.3645,145.8238,42032000
2015-02-23,148.2755,148.7302,147.5638,148.7104,146.1638,28160000
2015-02-24,148.2953,149.2145,147.4353,148.8982,146.3484,33712000
2015-02-25,148.6683,149.787,147.7377,148.3614,145.8207,32339200
2015-02-26,147.9062,149.2756,147.1476,149.1377,146.5838,29814400
2015-02-27,148.897,149.0741,147.2335,147.7059,145.1765,25292800
2015-03-02,148.208,150.4423,148.1784,150.3636,147.7886,36713600
2015-03-03,149.7222,150.0477,147.3551,149.1896,146.6348,48896000
2015-03-04,148.0003,148.3843,146.189,147.833,145.3014,41088000
2015-03-05,148.4298,149.0593,146.9644,148.1446,145.6077,34275200
2015-03-06,147.9464,148.4878,144.1958,144.8554,142.3748,46400000
2015-03-09,145.2464,146.2094,144.0672,145.4037,142.9136,29580800
2015-03-10,143.7341,143.7735,140.4155,140.4844,138.0787,58320000
2015-03-11,140.9792,141.3046,138.8397,138.9482,136.5687,43008000
2015-03-12,139.1556,141.5591,139.0072,141.2821,138.8627,39644800
2015-03-13,141.0265,142.1049,138.2663,140.0075,137.6099,60326400
2015-03-16,141.2081,143.8928,140.9407,143.8928,141.4287,39872000
2015-03-17,142.9967,144.6808,142.3726,144.2449,141.7748,30633600
2015-03-18,143.2253,148.1511,141.7812,146.9049,144.3891,36582400
2015-03-19,147.1371,148.0071,146.7119,147.226,144.7048,28147200
2015-03-20,148.8749,149.8588,148.4026,148.5403,145.9966,28662400
2015-03-23,148.5299,149.3281,147.9681,148.0371,145.502,28208000
2015-03-24,147.7865,149.1642,146.7139,146.7729,144.2595,28886400
2015-03-25,146.6594,146.8751,139.3461,139.4343,137.1192,73417600
2015-03-26,137.3018,140.1564,136.3209,138.5868,136.2857,73030400
2015-03-27,138.5251,140.3499,138.1522,139.7417,137.4214,38044800
2015-03-30,141.2858,142.9911,141.276,142.9911,140.6169,51913600
2015-03-31,142.0224,142.5812,139.7088,139.748,137.4277,37097600
2015-04-01,139.7925,139.8808,136.6043,138.3995,136.1015,47820800
2015-04-02,138.493,139.2474,137.5525,138.3559,136.0586,29948800
2015-04-06,134.7243,139.3094,134.3285,138.5565,136.2559,45132800
2015-04-07,140.2566,142.2124,139.8752,139.8752,137.5528,31840000
2015-04-08,139.3134,141.7752,139.255,141.3957,139.048,44048000
2015-04-09,141.6192,143.5896,140.6438,143.5115,141.1287,32569600
2015-04-10,143.4565,144.7149,142.7736,144.6857,142.2833,26812800
2015-04-13,144.9858,146.4105,143.6976,143.9904,141.5996,33088000
2015-04-14,144.2009,145.0136,142.0371,143.6624,141.2771,32924800
2015-04-15,144.293,145.8971,143.9409,145.2027,142.7918,32646400
2015-04-16,144.6005,145.4618,144.2188,144.9431,142.5365,25638400
2015-04-17,136.2009,136.932,133.3327,134.5325,132.2987,56896000
2015-04-20,136.3931,139.5173,136.299,139.0844,136.7751,42476800
2015-04-21,145.1996,145.7437,144.5195,144.7916,142.3875,31036800
2015-04-22,145.8915,147.1867,144.0218,146.6901,144.2545,38540800
2015-04-23,145.4749,148.7891,145.4069,147.5742,145.1239,35187200
2015-04-24,150.7375,151.992,150.261,151.5739,149.0571,35782400
2015-04-27,146.0539,146.5559,143.6088,144.241,141.8461,44921600
2015-04-28,149.7527,150.3215,146.4362,148.8754,146.4035,40409600
2015-04-29,147.0499,148.8413,145.3067,146.944,144.5041,52985600
