Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,255.53,256.8543,250.1735,253.2767,238.6535,42342400
2015-01-05,250.1537,250.6084,243.216,244.0462,229.9558,90105600
2015-01-06,247.8238,249.3231,239.8675,242.3863,228.3918,117161600
2015-01-07,246.223,249.2821,244.8635,248.4623,234.117,61499200
2015-01-08,252.4606,257.7397,252.4606,257.2398,242.3877,58868800
2015-01-09,258.38,258.4,251.2,252.84,238.2419,70956800
2015-01-12,252.7899,253.3088,246.7436,248.3799,234.0394,49008000
2015-01-13,251.4358,254.7602,242.6771,246.4991,232.2672,101068800
2015-01-14,240.4675,244.0904,237.9195,243.4335,229.3786,95172800
2015-01-15,245.0525,246.047,238.5284,238.8267,225.0378,75382400
2015-01-16,237.9925,245.1628,237.337,244.5868,230.4653,66670400
2015-01-20,244.6512,245.499,239.4068,243.902,229.82,67980800
2015-01-21,243.6169,248.8853,242.3493,247.4395,233.1533,69441600
2015-01-22,248.614,254.0753,244.592,253.6415,238.9971,72606400
2015-01-23,252.4098,253.3548,250.185,250.4409,235.9814,47694400
2015-01-26,249.377,251.3803,247.2558,251.0465,236.5519,37331200
2015-01-27,244.3504,247.092,241.3347,243.7238,229.6521,74860800
2015-01-28,247.0207,247.2948,236.8424,237.273,223.5737,69633600
2015-01-29,237.9221,242.4637,233.87,241.8373,227.8745,56987200
2015-01-30,239.5924,243.5498,236.3044,237.0919,223.4031,74571200
2015-02-02,238.7835,243.4365,233.539,243.0619,229.0284,69979200
2015-02-03,246.657,251.2699,245.7464,251.1709,236.6692,64270400
2015-02-04,248.3989,252.0943,247.5689,248.8139,234.4483,53268800
2015-02-05,249.7417,253.085,249.427,252.849,238.2505,48936000
2015-02-06,254.2536,255.8891,250.2338,251.7511,237.2159,48700800
2015-02-09,249.3374,251.5215,247.8814,249.1013,234.7191,44804800
2015-02-10,252.7161,255.6941,250.1523,254.8855,240.1694,37910400
2015-02-11,253.9526,256.0591,252.1021,254.8385,240.125,39852800
2015-02-12,257.7384,260.342,257.2256,260.1842,245.1621,36441600
2015-02-13,257.98,259.8745,257.2965,259.7378,244.7414,36716800
2015-02-17,261.7792,263.9511,260.9302,263.5957,248.3767,32032000
2015-02-18,262.5883,264.0117,261.8173,263.8535,248.6195,30555200
2015-02-19,262.0348,264.5059,261.5603,263.557,248.3402,29740800
2015-02-20,262.1534,266.7793,260.2951,266.5816,251.1902,52547200
2015-02-23,265.8501,266.5025,264.6442,266.5025,251.1156,28110400
2015-02-24,266.2455,268.5782,265.4152,268.0643,252.5872,30403200
2015-02-25,268.0524,269.478,266.8644,267.8544,252.3895,33952000
2015-02-26,266.3356,266.7888,264.1682,265.9809,250.6242,33574400
2015-02-27,265.4888,266.2959,263.9139,264.091,248.8434,28592000
2015-03-02,264.2485,267.418,264.091,267.2802,251.8484,35614400
2015-03-03,266.4819,266.7975,262.9904,265.5548,250.2225,45961600
2015-03-04,263.2189,263.4946,259.8915,262.9236,247.7433,68803200
2015-03-05,263.5583,264.0107,261.67,263.1453,247.9523,34152000
2015-03-06,260.6905,262.108,254.9809,256.0244,241.2424,80409600
2015-03-09,256.0605,258.6351,255.7658,257.6721,242.7951,36833600
2015-03-10,253.9079,254.2427,249.7129,249.772,235.3511,74320000
2015-03-11,250.7239,251.3352,248.6337,248.9886,234.613,65040000
2015-03-12,251.5859,256.2148,251.3881,256.0368,241.2542,54987200
2015-03-13,255.302,255.6779,249.841,253.0859,238.4737,95446400
2015-03-16,255.4704,260.285,255.3516,260.1265,245.1077,54422400
2015-03-17,257.721,259.5438,256.0369,258.4343,243.5132,67376000
2015-03-18,256.6186,266.2527,254.7195,264.1953,248.9416,94996800
2015-03-19,262.8952,263.7058,260.5818,261.6099,246.5056,64356800
2015-03-20,263.3327,266.5402,263.0965,264.9659,249.6678,55256000
2015-03-23,265.4656,267.1803,264.4801,264.5392,249.2657,45304000
2015-03-24,263.65,265.0277,260.8356,260.9537,245.8871,55776000
2015-03-25,260.1832,260.8695,251.8895,252.066,237.9541,84784000
2015-03-26,250.1979,253.5723,248.138,251.0611,237.0055,89476800
2015-03-27,250.6774,252.6397,250.1084,252.1099,237.9956,57217600
2015-03-30,254.8946,258.8149,254.8162,258.0308,243.5851,48142400
2015-03-31,255.556,257.654,253.36,253.5169,239.3238,68755200
2015-04-01,253.5493,253.5493,248.9582,252.0189,237.9097,82193600
2015-04-02,251.3566,254.6485,250.7884,253.1789,239.0047,53435200
2015-04-06,246.9962,254.4095,246.5908,252.923,238.7632,58547200
2015-04-07,256.2619,258.4915,254.7756,255.0102,240.7336,44406400
2015-04-08,254.2418,256.5577,253.1325,255.2927,241.0001,62830400
2015-04-09,255.4004,258.8338,254.0153,258.229,243.7721,50176000
2015-04-10,258.9338,261.1191,258.368,260.9435,246.3346,34164800
2015-04-13,260.6562,262.5494,258.5678,258.7825,244.2946,43908800
2015-04-14,258.9703,261.0851,257.1492,260.5564,245.9692,45225600
2015-04-15,261.7267,264.1133,261.3941,262.607,247.905,47715200
2015-04-16,261.8352,264.1451,261.2088,262.5986,247.8971,42201600
2015-04-17,248.0691,248.8002,243.5138,245.7071,231.9513,89832000
2015-04-20,249.3356,252.1023,249.091,251.1989,237.1356,46315200
2015-04-21,261.406,261.7946,257.8693,258.7243,244.2397,39377600
2015-04-22,260.3279,262.3925,257.6206,261.8276,247.1692,41913600
2015-04-23,260.1404,264.5529,259.7905,262.6091,247.9069,54478400
2015-04-24,264.0921,264.8117,262.6723,263.956,249.1785,39729600
2015-04-27,254.0278,254.3253,249.7327,250.2161,236.2078,50787200
2015-04-28,259.4955,261.3272,256.0055,261.1537,246.5331,55100800
